,answer,question,clozed_text,creation_time,title,source
0,357,When was Philip II officially king of Macedonia?,When was Philip II officially king of Macedonia?<br>{{c1::357}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
1,military and diplomatic tactics,What did Philip II use to expand his country's territory and influence?,What did Philip II use to expand his country's territory and influence?<br>{{c1::military and diplomatic tactics}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
2,Alexander the Great,Who succeeded Philip II?,Who succeeded Philip II?<br>{{c1::Alexander the Great}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
3,383 or 382 B.C,When was Philip II born?,When was Philip II born?<br>{{c1::383 or 382 B.C}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
4,Alexander II,Who was Philip II's brother?,Who was Philip II's brother?<br>{{c1::Alexander II}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
5,Epaminondas,Who was one of the greatest generals of the day?,Who was one of the greatest generals of the day?<br>{{c1::Epaminondas}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
6,Perdiccas III,Who brought Philip back from Thebes?,Who brought Philip back from Thebes?<br>{{c1::Perdiccas III}},Wed Jul  7 16:02:53 2021,Philip II of Macedon,"After Alexander IIs assassination\, Philips brother\, Perdiccas III\, became king and brought Philip back from Thebes. When Perdiccas was killed in 359 while fighting the Illyrians\, Philip was selected to serve as the guardian for Perdiccass young son\, Amyntas IV."
7,Amyntas IV,Who was Perdiccas young son?,Who was Perdiccas young son?<br>{{c1::Amyntas IV}},Wed Jul  7 16:02:53 2021,Philip II of Macedon,"After Alexander IIs assassination\, Philips brother\, Perdiccas III\, became king and brought Philip back from Thebes. When Perdiccas was killed in 359 while fighting the Illyrians\, Philip was selected to serve as the guardian for Perdiccass young son\, Amyntas IV."
8,Philip,Who used his military ingenuity to remake the Macedonian army?,Who used his military ingenuity to remake the Macedonian army?<br>{{c1::Philip}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
9,16 feet,How long was the sarissa?,How long was the sarissa?<br>{{c1::16 feet}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
10,phalanxes,What were Philip's army's first strikes called?,What were Philip's army's first strikes called?<br>{{c1::phalanxes}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
11,358,When did Philip's army invade Paeonia and Illyria?,When did Philip's army invade Paeonia and Illyria?<br>{{c1::358}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
12,military tactician,What was Philip's profession?,What was Philip's profession?<br>{{c1::military tactician}},Wed Jul  7 16:03:11 2021,Philip II of Macedon,"An excellent military tactician\, Philip was also adept at consolidating power through other means. Macedonians were polygamous\, so marrying the female relatives of powerful opponents and allies was a natural step for Philip (his seven wives included Molossian princess Olympias\, the mother of Alexander the Great). By 357\, Philip was no longer acting as his nephews regent and was officially Macedonias king."
13,seven,How many wives did Philip have?,How many wives did Philip have?<br>{{c1::seven}},Wed Jul  7 16:03:11 2021,Philip II of Macedon,"An excellent military tactician\, Philip was also adept at consolidating power through other means. Macedonians were polygamous\, so marrying the female relatives of powerful opponents and allies was a natural step for Philip (his seven wives included Molossian princess Olympias\, the mother of Alexander the Great). By 357\, Philip was no longer acting as his nephews regent and was officially Macedonias king."
14,357,When was Philip no longer acting as his nephews regent?,When was Philip no longer acting as his nephews regent?<br>{{c1::357}},Wed Jul  7 16:03:11 2021,Philip II of Macedon,"An excellent military tactician\, Philip was also adept at consolidating power through other means. Macedonians were polygamous\, so marrying the female relatives of powerful opponents and allies was a natural step for Philip (his seven wives included Molossian princess Olympias\, the mother of Alexander the Great). By 357\, Philip was no longer acting as his nephews regent and was officially Macedonias king."
15,Amphipolis,What city did Philip face off against Athens in 357?,What city did Philip face off against Athens in 357?<br>{{c1::Amphipolis}},Wed Jul  7 16:03:17 2021,Philip II of Macedon,"In 357\, Philip successfully faced off with Athens for control of the strategically located city of Amphipolis. Over the next two decades\, Philip would achieve a series of victories in the region\, only suffering a major defeat in 353. His able use of shifting alliances\, combined with his military supremacy\, granted him territory and influence that increased Macedonias wealth\, security and unity."
16,353,In what year did Philip suffer a major defeat?,In what year did Philip suffer a major defeat?<br>{{c1::353}},Wed Jul  7 16:03:17 2021,Philip II of Macedon,"In 357\, Philip successfully faced off with Athens for control of the strategically located city of Amphipolis. Over the next two decades\, Philip would achieve a series of victories in the region\, only suffering a major defeat in 353. His able use of shifting alliances\, combined with his military supremacy\, granted him territory and influence that increased Macedonias wealth\, security and unity."
17,Chaeronea,Where did Philip's army fight against a large assembly of Greek forces?,Where did Philip's army fight against a large assembly of Greek forces?<br>{{c1::Chaeronea}},Wed Jul  7 16:03:27 2021,Philip II of Macedon,"At Chaeronea in 338\, Philips army fought against a large assembly of Greek forces. Using a feigned retreat that created openings for his cavalry\, Philip won a great victory over the Greeks. In consequence\, he was able to form the League of Corinth in 337\, which brought almost all of the Greek city-states into an alliance that was beholden to Philip."
18,338,When did Philip's army fight against a large assembly of Greek forces at Chaeronea?,When did Philip's army fight against a large assembly of Greek forces at Chaeronea?<br>{{c1::338}},Wed Jul  7 16:03:27 2021,Philip II of Macedon,"At Chaeronea in 338\, Philips army fought against a large assembly of Greek forces. Using a feigned retreat that created openings for his cavalry\, Philip won a great victory over the Greeks. In consequence\, he was able to form the League of Corinth in 337\, which brought almost all of the Greek city-states into an alliance that was beholden to Philip."
19,feigned retreat,What did Philip use to create openings for his cavalry?,What did Philip use to create openings for his cavalry?<br>{{c1::feigned retreat}},Wed Jul  7 16:03:27 2021,Philip II of Macedon,"At Chaeronea in 338\, Philips army fought against a large assembly of Greek forces. Using a feigned retreat that created openings for his cavalry\, Philip won a great victory over the Greeks. In consequence\, he was able to form the League of Corinth in 337\, which brought almost all of the Greek city-states into an alliance that was beholden to Philip."
20,League of Corinth,What alliance did Philip form in 337?,What alliance did Philip form in 337?<br>{{c1::League of Corinth}},Wed Jul  7 16:03:27 2021,Philip II of Macedon,"At Chaeronea in 338\, Philips army fought against a large assembly of Greek forces. Using a feigned retreat that created openings for his cavalry\, Philip won a great victory over the Greeks. In consequence\, he was able to form the League of Corinth in 337\, which brought almost all of the Greek city-states into an alliance that was beholden to Philip."
21,a limp,What did Philip walk with after being shot by an arrow?,What did Philip walk with after being shot by an arrow?<br>{{c1::a limp}},Wed Jul  7 16:03:34 2021,Philip II of Macedon,"After years of military campaigns\, Philip was blind in one eye from being shot by an arrow and walked with a limp thanks to a devastating injury to his leg. In spite of these blows\, he still dreamed of reaching Persia and its riches. He got the League of Corinth to sanction this invasion and began to prepare for the upcoming campaign."
22,Persia,Where did Philip dream of reaching after being shot by an arrow?,Where did Philip dream of reaching after being shot by an arrow?<br>{{c1::Persia}},Wed Jul  7 16:03:34 2021,Philip II of Macedon,"After years of military campaigns\, Philip was blind in one eye from being shot by an arrow and walked with a limp thanks to a devastating injury to his leg. In spite of these blows\, he still dreamed of reaching Persia and its riches. He got the League of Corinth to sanction this invasion and began to prepare for the upcoming campaign."
23,League of Corinth,Who sanctioned the invasion of Persia?,Who sanctioned the invasion of Persia?<br>{{c1::League of Corinth}},Wed Jul  7 16:03:34 2021,Philip II of Macedon,"After years of military campaigns\, Philip was blind in one eye from being shot by an arrow and walked with a limp thanks to a devastating injury to his leg. In spite of these blows\, he still dreamed of reaching Persia and its riches. He got the League of Corinth to sanction this invasion and began to prepare for the upcoming campaign."
24,Aegae,Where was Philip assassinated?,Where was Philip assassinated?<br>{{c1::Aegae}},Wed Jul  7 16:03:42 2021,Philip II of Macedon,"While preparations were underway for the move into Persia\, Philip participated in a procession in Aegae in July 336. There\, he was assassinated by one of his bodyguards\, Pausanias. Philip was approximately 46 when he died."
25,Pausanias,Who was Philip's bodyguard?,Who was Philip's bodyguard?<br>{{c1::Pausanias}},Wed Jul  7 16:03:42 2021,Philip II of Macedon,"While preparations were underway for the move into Persia\, Philip participated in a procession in Aegae in July 336. There\, he was assassinated by one of his bodyguards\, Pausanias. Philip was approximately 46 when he died."
26,46,How old was Philip when he was assassinated?,How old was Philip when he was assassinated?<br>{{c1::46}},Wed Jul  7 16:03:42 2021,Philip II of Macedon,"While preparations were underway for the move into Persia\, Philip participated in a procession in Aegae in July 336. There\, he was assassinated by one of his bodyguards\, Pausanias. Philip was approximately 46 when he died."
27,Pausaniass,Whose actions remain unclear?,Whose actions remain unclear?<br>{{c1::Pausaniass}},Wed Jul  7 16:03:52 2021,Philip II of Macedon,"The reasons behind Pausaniass actions remain unclear. He may have been acting on his own— allegedly Philips ally Attalus arranged for Pausaniass sexual assault\, and Pausanias was upset that Philip would not help avenge him. However\, Pausanias may have been acting for someone else—perhaps Olympias\, who felt supplanted by Philips latest marriage\, or Alexander\, who may have worried that his succession was in jeopardy. The Persian king was another possibility\, as he would have wanted to avert Philips invasion."
28,Attalus,Who arranged for Pausaniass sexual assault?,Who arranged for Pausaniass sexual assault?<br>{{c1::Attalus}},Wed Jul  7 16:03:52 2021,Philip II of Macedon,"The reasons behind Pausaniass actions remain unclear. He may have been acting on his own— allegedly Philips ally Attalus arranged for Pausaniass sexual assault\, and Pausanias was upset that Philip would not help avenge him. However\, Pausanias may have been acting for someone else—perhaps Olympias\, who felt supplanted by Philips latest marriage\, or Alexander\, who may have worried that his succession was in jeopardy. The Persian king was another possibility\, as he would have wanted to avert Philips invasion."
29,Alexander,Who may have worried that his succession was in jeopardy?,Who may have worried that his succession was in jeopardy?<br>{{c1::Alexander}},Wed Jul  7 16:03:52 2021,Philip II of Macedon,"The reasons behind Pausaniass actions remain unclear. He may have been acting on his own— allegedly Philips ally Attalus arranged for Pausaniass sexual assault\, and Pausanias was upset that Philip would not help avenge him. However\, Pausanias may have been acting for someone else—perhaps Olympias\, who felt supplanted by Philips latest marriage\, or Alexander\, who may have worried that his succession was in jeopardy. The Persian king was another possibility\, as he would have wanted to avert Philips invasion."
30,Persian king,Who would have wanted to avert Philips invasion?,Who would have wanted to avert Philips invasion?<br>{{c1::Persian king}},Wed Jul  7 16:03:52 2021,Philip II of Macedon,"The reasons behind Pausaniass actions remain unclear. He may have been acting on his own— allegedly Philips ally Attalus arranged for Pausaniass sexual assault\, and Pausanias was upset that Philip would not help avenge him. However\, Pausanias may have been acting for someone else—perhaps Olympias\, who felt supplanted by Philips latest marriage\, or Alexander\, who may have worried that his succession was in jeopardy. The Persian king was another possibility\, as he would have wanted to avert Philips invasion."
31,Philips legacy,What is much clearer about the assassination of Philip?,What is much clearer about the assassination of Philip?<br>{{c1::Philips legacy}},Wed Jul  7 16:04:00 2021,Philip II of Macedon,"While it is impossible to know the exact motive behind the assassination\, Philips legacy is much clearer. When Alexander stepped in to lead Macedonia\, he was the head of a country that was strong and unified\, with the most able military force in the region. While Alexanders accomplishments are impressive\, none would have been possible without the legacy that Philip left behind."
32,unified,Macedonia was strong and what?,Macedonia was strong and what?<br>{{c1::unified}},Wed Jul  7 16:04:00 2021,Philip II of Macedon,"While it is impossible to know the exact motive behind the assassination\, Philips legacy is much clearer. When Alexander stepped in to lead Macedonia\, he was the head of a country that was strong and unified\, with the most able military force in the region. While Alexanders accomplishments are impressive\, none would have been possible without the legacy that Philip left behind."
33,Alexander,Who was the leader of Macedonia at the time of Philip's assassination?,Who was the leader of Macedonia at the time of Philip's assassination?<br>{{c1::Alexander}},Wed Jul  7 16:04:00 2021,Philip II of Macedon,"While it is impossible to know the exact motive behind the assassination\, Philips legacy is much clearer. When Alexander stepped in to lead Macedonia\, he was the head of a country that was strong and unified\, with the most able military force in the region. While Alexanders accomplishments are impressive\, none would have been possible without the legacy that Philip left behind."
34,fairness,We strive for accuracy and what else?,We strive for accuracy and what else?<br>{{c1::fairness}},Wed Jul  7 16:04:03 2021,Philip II of Macedon,"We strive for accuracy and fairness. If you see something that doesn't look right\, contact us!"
35,skipped,skipped,skipped<br>{{c1::skipped}},Wed Jul  7 16:04:04 2021,Philip II of Macedon,https://www.biography.com/political-figure/philip-ii-of-macedon
36,"""use strict""",What is the name of the function that creates a document?,"What is the name of the function that creates a document?<br>{{c1::""use strict""}}",Wed Jul  7 16:04:07 2021,Philip II of Macedon,"""use strict"";(function(){var insertion=document.getElementById(""citation-access-date"");var date=new Date().toLocaleDateString(undefined\,{month:""long""\,day:""numeric""\,year:""numeric""});insertion.parentElement.replaceChild(document.createTextNode(date)\,insertion)})();"
37,Biography,What is the name of the newsletter that tells the story of the people who shaped our world?,What is the name of the newsletter that tells the story of the people who shaped our world?<br>{{c1::Biography}},Wed Jul  7 16:04:11 2021,Philip II of Macedon,Subscribe to the Biography newsletter to receive stories about the people who shaped our world and the stories that shaped their lives.
38,Charles II,"Who was the monarch of England\, Scotland and Ireland during much of the latter half of the 17th century?","Who was the monarch of England\, Scotland and Ireland during much of the latter half of the 17th century?<br>{{c1::Charles II}}",Wed Jul  7 16:04:15 2021,Philip II of Macedon,"Charles II was the monarch of England\, Scotland and Ireland during much of the latter half of the 17th century\, marking the Restoration era."
39,Alexander the Great,Who was king of Macedonia from 336 to 323 B.C.?,Who was king of Macedonia from 336 to 323 B.C.?<br>{{c1::Alexander the Great}},Wed Jul  7 16:04:21 2021,Philip II of Macedon,"Alexander the Great served as king of Macedonia from 336 to 323 B.C. During his time of leadership\, he united Greece\, reestablished the Corinthian League and conquered the Persian Empire."
40,reestablished the Corinthian League,What did Alexander the Great do during his time as king of Macedonia?,What did Alexander the Great do during his time as king of Macedonia?<br>{{c1::reestablished the Corinthian League}},Wed Jul  7 16:04:21 2021,Philip II of Macedon,"Alexander the Great served as king of Macedonia from 336 to 323 B.C. During his time of leadership\, he united Greece\, reestablished the Corinthian League and conquered the Persian Empire."
41,Catherine II,Who was the empress of Russia in the late 18th century?,Who was the empress of Russia in the late 18th century?<br>{{c1::Catherine II}},Wed Jul  7 16:04:27 2021,Philip II of Macedon,"Catherine II\, or Catherine the Great\, served as empress of Russia for more than three decades in the late 18th century after overthrowing her husband\, Peter III."
42,Peter III,Who was Catherine's husband?,Who was Catherine's husband?<br>{{c1::Peter III}},Wed Jul  7 16:04:27 2021,Philip II of Macedon,"Catherine II\, or Catherine the Great\, served as empress of Russia for more than three decades in the late 18th century after overthrowing her husband\, Peter III."
43,Nicholas II,Who was the last tsar of Russia under Romanov rule?,Who was the last tsar of Russia under Romanov rule?<br>{{c1::Nicholas II}},Wed Jul  7 16:04:32 2021,Philip II of Macedon,Nicholas II was the last tsar of Russia under Romanov rule. His poor handling of Bloody Sunday and Russia’s role in World War I led to his abdication and execution.
44,World War I,What war did Nicholas II play a part in?,What war did Nicholas II play a part in?<br>{{c1::World War I}},Wed Jul  7 16:04:32 2021,Philip II of Macedon,Nicholas II was the last tsar of Russia under Romanov rule. His poor handling of Bloody Sunday and Russia’s role in World War I led to his abdication and execution.
45,1888,When did Kaiser Wilhelm become emperor of Germany?,When did Kaiser Wilhelm become emperor of Germany?<br>{{c1::1888}},Wed Jul  7 16:04:35 2021,Philip II of Macedon,Kaiser Wilhelm served as emperor of Germany from 1888 until the end of World War I.
46,Frederick II,Who was Prussia's king from 1740 to 1786?,Who was Prussia's king from 1740 to 1786?<br>{{c1::Frederick II}},Wed Jul  7 16:04:42 2021,Philip II of Macedon,"Frederick II\, known as Frederick the Great\, was Prussia's king from 1740 to 1786. By winning wars and expanding territories\, he established Prussia as a strong military power."
47,1740 to 1786,During what years was Frederick the Great king of Prussia?,During what years was Frederick the Great king of Prussia?<br>{{c1::1740 to 1786}},Wed Jul  7 16:04:42 2021,Philip II of Macedon,"Frederick II\, known as Frederick the Great\, was Prussia's king from 1740 to 1786. By winning wars and expanding territories\, he established Prussia as a strong military power."
48,a strong military power,What did Frederick II establish Prussia as?,What did Frederick II establish Prussia as?<br>{{c1::a strong military power}},Wed Jul  7 16:04:42 2021,Philip II of Macedon,"Frederick II\, known as Frederick the Great\, was Prussia's king from 1740 to 1786. By winning wars and expanding territories\, he established Prussia as a strong military power."
49,Oscar Hammerstein II,Who collaborated with Richard Rodgers on popular musicals?,Who collaborated with Richard Rodgers on popular musicals?<br>{{c1::Oscar Hammerstein II}},Wed Jul  7 16:04:46 2021,Philip II of Macedon,"Oscar Hammerstein II collaborated with Richard Rodgers on popular musicals such as ‘Oklahoma!\,’ ‘South Pacific\,’ ‘Carousel\,’ ‘The King and I’ and ‘The Sound of Music.’"
50,King Philip II of Spain,Who ruled one of the largest empires in the world?,Who ruled one of the largest empires in the world?<br>{{c1::King Philip II of Spain}},Wed Jul  7 16:04:51 2021,Philip II of Macedon,"King Philip II of Spain\, also known as Philip the Prudent\, ruled one of the world's largest empires. The Philippines are named after him."
51,The Philippines,What is the name of the largest empire in the world?,What is the name of the largest empire in the world?<br>{{c1::The Philippines}},Wed Jul  7 16:04:51 2021,Philip II of Macedon,"King Philip II of Spain\, also known as Philip the Prudent\, ruled one of the world's largest empires. The Philippines are named after him."
52,Prince Philip,What was the name of the Duke of Edinburgh?,What was the name of the Duke of Edinburgh?<br>{{c1::Prince Philip}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
53,Prince Harry and Prince William,Who was Prince Philip the grandfather of?,Who was Prince Philip the grandfather of?<br>{{c1::Prince Harry and Prince William}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
54,Prince Philip,What was the name of the Duke of Edinburgh?,What was the name of the Duke of Edinburgh?<br>{{c1::Prince Philip}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
55,Prince Philip,What was the name of the Duke of Edinburgh?,What was the name of the Duke of Edinburgh?<br>{{c1::Prince Philip}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
56,Prince Charles,Who was Prince Philip's father?,Who was Prince Philip's father?<br>{{c1::Prince Charles}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
57,Prince Harry and Prince William,Who was Prince Philip the grandfather of?,Who was Prince Philip the grandfather of?<br>{{c1::Prince Harry and Prince William}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
58,Prince Philip,What was the name of the Duke of Edinburgh?,What was the name of the Duke of Edinburgh?<br>{{c1::Prince Philip}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
59,Prince Philip,What was the name of the Duke of Edinburgh?,What was the name of the Duke of Edinburgh?<br>{{c1::Prince Philip}},Wed Jul  7 16:05:07 2021,Philip II of Macedon,"Prince Philip\, Duke of Edinburgh\, was the husband of Queen Elizabeth II\, the father of Prince Charles and the grandfather of Prince Harry and Prince William."
